iter	RMSE
0	72496.62341
1	67920.60743
2	63956.80889
3	60486.31645
4	57461.4509
5	54524.12688
6	51679.09464
7	49374.83709
8	47432.33656
9	45290.59767
10	43190.51901
11	41553.89123
12	40043.25832
13	38567.9995
14	37366.72375
15	35951.11271
16	34964.53193
17	33756.51451
18	32737.02562
19	31857.40634
20	31039.27309
21	30353.25057
22	29598.19534
23	28958.83524
24	28361.35751
25	27810.03552
26	27317.60398
27	26747.09982
28	26243.13804
29	25734.22951
30	25334.91896
31	25229.34317
32	24846.81475
33	24519.13218
34	24181.47032
35	23901.50365
36	23595.49689
37	23366.71432
38	23085.58934
39	22844.73385
40	22523.73931
41	22300.67128
42	22079.4554
43	21819.81881
44	21579.71595
45	21375.30412
46	21126.34905
47	20942.73114
48	20730.08599
49	20507.52124
50	20338.84524
51	20157.16398
52	20002.94255
53	19897.4827
54	19676.89792
55	19563.82434
56	19414.99305
57	19300.60268
58	19185.72613
59	19077.08308
60	19019.34124
61	18875.15049
62	18751.65333
63	18624.99269
64	18525.54822
65	18428.30921
66	18359.83489
67	18264.55725
68	18126.53046
69	18052.54457
70	17943.34788
71	17828.89279
72	17759.84317
73	17694.66828
74	17587.63609
75	17482.29564
76	17421.82781
77	17368.31273
78	17275.81406
79	17183.05024
80	17103.99585
81	16992.07183
82	16878.23674
83	16824.72533
84	16723.00351
85	16648.86824
86	16591.92696
87	16531.8386
88	16421.82235
89	16326.17272
90	16262.13648
91	16202.60465
92	16172.08783
93	16104.66588
94	16085.75306
95	16028.08609
96	15952.15664
97	15820.08484
98	15789.65336
99	15715.4677
100	15644.78211
101	15534.10838
102	15502.54156
103	15419.41495
104	15327.70987
105	15212.6727
106	15123.41932
107	15039.24584
108	14958.1495
109	14884.57551
110	14774.93294
111	14688.17474
112	14627.39115
113	14583.38026
114	14534.49855
115	14465.29155
116	14392.12697
117	14308.25226
118	14257.70146
119	14190.93091
120	14163.0307
121	14050.00412
122	13987.14815
123	13899.47586
124	13862.49905
125	13834.30637
126	13768.12761
127	13757.99163
128	13684.08647
129	13616.06631
130	13538.2368
131	13448.98801
132	13387.34924
133	13336.11405
134	13300.40354
135	13253.64307
136	13214.00491
137	13165.40295
138	13085.51149
139	13023.10099
140	12969.58847
141	12926.28037
142	12885.12375
143	12830.41447
144	12776.30499
145	12692.058
146	12669.27988
147	12603.33188
148	12556.9534
149	12500.24221
150	12454.73502
151	12387.23626
152	12367.4752
153	12307.02831
154	12257.72623
155	12209.92141
156	12163.10331
157	12112.58409
158	12090.80259
159	12031.36483
160	12003.74044
161	11993.66586
162	11920.64992
163	11862.12884
164	11839.77591
165	11805.19261
166	11777.93983
167	11721.14304
168	11697.9435
169	11664.72347
170	11660.47447
171	11593.81894
172	11530.32962
173	11485.64734
174	11459.3812
175	11411.04695
176	11406.19526
177	11383.75276
178	11327.5112
179	11299.65155
180	11252.99917
181	11240.88308
182	11211.92998
183	11174.07503
184	11110.2017
185	11092.32199
186	11041.44883
187	11012.3908
188	10962.44149
189	10919.93072
190	10884.86803
191	10836.77295
192	10803.43899
193	10744.83587
194	10705.80301
195	10651.85732
196	10605.386
197	10580.39533
198	10530.33392
199	10500.47057
200	10471.43703
201	10421.80538
202	10374.06931
203	10326.21808
204	10294.66937
205	10279.74262
206	10203.20944
207	10163.07126
208	10118.58291
209	10058.51236
210	10042.22505
211	10005.75346
212	9964.942379
213	9923.247797
214	9891.34717
215	9856.235313
216	9799.935341
217	9762.976688
218	9734.646857
219	9723.332153
220	9688.900068
221	9649.795258
222	9610.682111
223	9565.138825
224	9549.053534
225	9514.634875
226	9487.234464
227	9449.009741
228	9409.875938
229	9365.566783
230	9334.822596
231	9320.198869
232	9276.131546
233	9266.092002
234	9219.874809
235	9187.464096
236	9140.901179
237	9115.889009
238	9079.514585
239	9041.016801
240	9023.002702
241	8992.982243
242	8965.263489
243	8924.98664
244	8894.118918
245	8856.069591
246	8832.067198
247	8812.798644
248	8803.789842
249	8785.293836
250	8770.372346
251	8747.831044
252	8718.409521
253	8677.11046
254	8666.128959
255	8635.308907
256	8602.591307
257	8577.674776
258	8574.27413
259	8551.065685
260	8517.407611
261	8487.742917
262	8463.739334
263	8436.12475
264	8415.936239
265	8402.554591
266	8380.902442
267	8363.601966
268	8318.257602
269	8294.213565
270	8258.800377
271	8221.38424
272	8188.4252
273	8158.408523
274	8142.634193
275	8109.037367
276	8102.015289
277	8079.491949
278	8069.573583
279	8054.662277
280	8017.24443
281	7987.937272
282	7966.703824
283	7946.95531
284	7929.179765
285	7897.302329
286	7878.271916
287	7847.665279
288	7812.860136
289	7796.533332
290	7779.556372
291	7763.072983
292	7759.426873
293	7723.956453
294	7701.955452
295	7674.679105
296	7634.294961
297	7609.352883
298	7592.259688
299	7570.206551
300	7539.56397
301	7521.079143
302	7501.288477
303	7478.323363
304	7462.674357
305	7432.37294
306	7409.813155
307	7394.897815
308	7372.947502
309	7367.709498
310	7330.681027
311	7296.824512
312	7280.732987
313	7257.082229
314	7253.653583
315	7222.018617
316	7214.712888
317	7203.340909
318	7180.906514
319	7165.698734
320	7149.572885
321	7137.596971
322	7108.19829
323	7090.1015
324	7081.800656
325	7058.451437
326	7035.796535
327	7010.58259
328	6985.524498
329	6972.678544
330	6950.860536
331	6938.52092
332	6921.049791
333	6891.056402
334	6886.267986
335	6876.732083
336	6852.321685
337	6824.558465
338	6795.644765
339	6777.297474
340	6763.125039
341	6742.801003
342	6722.423538
343	6710.315499
344	6691.915886
345	6673.189139
346	6652.011304
347	6633.522586
348	6611.189956
349	6595.908294
350	6580.115428
351	6576.094929
352	6545.481174
353	6519.162114
354	6513.510537
355	6494.744671
356	6467.435304
357	6464.396651
358	6445.691687
359	6421.836202
360	6405.079773
361	6382.704101
362	6351.149419
363	6344.313164
364	6341.422311
365	6331.232854
366	6302.831876
367	6281.788611
368	6271.64583
369	6264.346671
370	6247.20881
371	6231.26487
372	6224.217247
373	6209.370623
374	6205.979678
375	6195.789876
376	6176.062101
377	6161.322779
378	6137.591703
379	6110.565199
380	6087.973969
381	6073.720774
382	6043.148448
383	6025.497938
384	6000.94701
385	5994.131318
386	5993.08095
387	5967.605147
388	5952.810245
389	5930.725804
390	5907.728678
391	5898.427684
392	5877.843085
393	5855.660511
394	5852.20237
395	5848.255651
396	5836.877517
397	5822.140458
398	5803.729996
399	5795.650453
400	5774.056451
401	5752.32525
402	5730.01096
403	5717.414289
404	5703.487257
405	5679.546334
406	5664.215456
407	5648.729867
408	5636.316553
409	5621.135804
410	5608.576557
411	5582.707082
412	5574.459768
413	5547.532798
414	5536.813969
415	5531.704584
416	5526.190532
417	5496.72624
418	5494.310242
419	5485.630855
420	5481.417245
421	5465.718279
422	5447.191512
423	5425.913024
424	5411.952473
425	5410.969413
426	5397.417868
427	5383.400838
428	5367.661698
429	5352.598705
430	5342.774214
431	5325.751518
432	5314.216963
433	5297.956757
434	5291.180645
435	5278.558505
436	5274.566415
437	5263.18555
438	5235.173466
439	5233.751381
440	5214.909976
441	5204.784165
442	5193.81134
443	5187.244868
444	5174.038678
445	5158.355809
446	5138.884685
447	5114.077564
448	5097.675295
449	5084.998991
450	5069.588047
451	5067.20154
452	5056.980499
453	5046.253727
454	5032.922135
455	5008.578318
456	5002.730645
457	4997.982531
458	4984.242117
459	4977.490667
460	4952.410775
461	4926.184744
462	4915.565681
463	4907.05825
464	4886.396696
465	4885.54813
466	4869.370029
467	4854.658434
468	4843.7703
469	4828.079229
470	4826.443761
471	4816.635877
472	4815.334491
473	4801.874754
474	4800.262843
475	4783.314943
476	4775.621576
477	4766.835578
478	4752.96812
479	4750.006288
480	4746.229602
481	4732.261896
482	4720.974964
483	4713.228565
484	4705.539487
485	4696.601653
486	4678.325607
487	4664.76724
488	4648.715517
489	4635.213526
490	4621.349819
491	4607.245252
492	4599.400277
493	4588.065272
494	4576.78655
495	4574.366303
496	4564.130979
497	4548.212169
498	4534.46187
499	4524.783951
500	4511.263263
501	4499.04394
502	4487.114243
503	4477.4421
504	4466.420607
505	4454.1
506	4439.838347
507	4430.963337
508	4416.214736
509	4402.57157
510	4393.999395
511	4385.651124
512	4380.603216
513	4363.304136
514	4352.684282
515	4346.728353
516	4337.8719
517	4324.300137
518	4308.058416
519	4293.978612
520	4275.64815
521	4264.55084
522	4247.556054
523	4237.631779
524	4224.258055
525	4210.005345
526	4206.115281
527	4189.016018
528	4173.06414
529	4155.537399
530	4154.950929
531	4151.274225
532	4138.156909
533	4129.441638
534	4119.913253
535	4113.47267
536	4102.253846
537	4090.247877
538	4080.938556
539	4066.404696
540	4052.276931
541	4039.868957
542	4028.413955
543	4027.734213
544	4007.688058
545	3993.181057
546	3992.357951
547	3975.861892
548	3971.377724
549	3957.550347
550	3939.747672
551	3936.807167
552	3924.020341
553	3913.185243
554	3896.195353
555	3884.505649
556	3877.457899
557	3859.731563
558	3851.829582
559	3845.81856
560	3833.561651
561	3824.280233
562	3804.017877
563	3795.418037
564	3784.822115
565	3773.328097
566	3766.587314
567	3758.517559
568	3748.600751
569	3738.982006
570	3735.199297
571	3724.140459
572	3711.143698
573	3706.746825
574	3702.07343
575	3693.018103
576	3677.292424
577	3664.753089
578	3651.581293
579	3644.215386
580	3636.979531
581	3625.215533
582	3623.122011
583	3613.531146
584	3605.108899
585	3596.997515
586	3587.590358
587	3576.704657
588	3568.335333
589	3567.311624
590	3562.387767
591	3554.188942
592	3552.744276
593	3540.700297
594	3525.482676
595	3523.295986
596	3519.00396
597	3510.89825
598	3499.519094
599	3493.98743
600	3479.172218
601	3464.929663
602	3456.299891
603	3446.128594
604	3435.164825
605	3425.690362
606	3418.966809
607	3418.537956
608	3416.247863
609	3410.292975
610	3403.111143
611	3390.263498
612	3380.386284
613	3378.99776
614	3369.240855
615	3356.185374
616	3346.744235
617	3339.832965
618	3331.854055
619	3322.758294
620	3309.971917
621	3299.761188
622	3290.409931
623	3283.710232
624	3274.79794
625	3267.538942
626	3257.757472
627	3251.77862
628	3234.495862
629	3225.015936
630	3214.739421
631	3214.185711
632	3207.907288
633	3199.486524
634	3195.38818
635	3186.422144
636	3177.861928
637	3177.371095
638	3167.558078
639	3157.554481
640	3154.275945
641	3147.878666
642	3142.447933
643	3134.950107
644	3127.72547
645	3124.025719
646	3116.978789
647	3111.618596
648	3107.62117
649	3099.987618
650	3098.029964
651	3086.947728
652	3077.844487
653	3075.129981
654	3068.981105
655	3060.177176
656	3053.544378
657	3053.178252
658	3045.855259
659	3036.385818
660	3034.265535
661	3027.1387
662	3020.392083
663	3016.548081
664	3015.95643
665	3014.717637
666	3000.471931
667	2993.810441
668	2983.109461
669	2976.687016
670	2976.239893
671	2968.510974
672	2964.180683
673	2959.83532
674	2951.27802
675	2944.740869
676	2937.664816
677	2930.694106
678	2919.888875
679	2916.667334
680	2909.085296
681	2902.15473
682	2892.416169
683	2881.624455
684	2875.420259
685	2870.796333
686	2863.791292
687	2857.049029
688	2853.260381
689	2852.273549
690	2844.843537
691	2838.147874
692	2828.708538
693	2823.480839
694	2821.122261
695	2816.257903
696	2807.099968
697	2797.926846
698	2793.135248
699	2791.633088
700	2782.781447
701	2773.078549
702	2766.878304
703	2763.686501
704	2762.534699
705	2756.516254
706	2752.469405
707	2742.652705
708	2733.318337
709	2728.586612
710	2720.771167
711	2713.503475
712	2712.788855
713	2706.820403
714	2700.119433
715	2695.506443
716	2689.971457
717	2685.460893
718	2678.579274
719	2674.643465
720	2667.791782
721	2663.915281
722	2657.026911
723	2650.450759
724	2645.348729
725	2633.995335
726	2633.114741
727	2625.266722
728	2618.77334
729	2611.882633
730	2604.979135
731	2604.45771
732	2598.976942
733	2595.091246
734	2587.020299
735	2580.334562
736	2572.012906
737	2567.305482
738	2565.822056
739	2565.534541
740	2560.724692
741	2553.646816
742	2552.626631
743	2548.971102
744	2547.350642
745	2536.849375
746	2532.211125
747	2527.0328
748	2523.942684
749	2519.426751
750	2513.850679
751	2507.341391
752	2504.658796
753	2499.104859
754	2494.581958
755	2486.422284
756	2480.911059
757	2471.855702
758	2466.93443
759	2462.354262
760	2457.040277
761	2456.656919
762	2445.622986
763	2441.73292
764	2436.927442
765	2433.167056
766	2424.846017
767	2420.284154
768	2413.355245
769	2409.335753
770	2408.800784
771	2401.517722
772	2393.706518
773	2388.65792
774	2380.604047
775	2378.854956
776	2376.212939
777	2373.129224
778	2369.798125
779	2367.350542
780	2367.026509
781	2362.617176
782	2359.423737
783	2355.065023
784	2354.77852
785	2346.813044
786	2340.461985
787	2335.865839
788	2335.623682
789	2328.599055
790	2319.599024
791	2316.891115
792	2309.259596
793	2305.884079
794	2296.944445
795	2295.187586
796	2291.43771
797	2291.169554
798	2285.709522
799	2279.727669
800	2270.680929
801	2263.947364
802	2261.044502
803	2253.306884
804	2244.100004
805	2238.189162
806	2237.803623
807	2231.618008
808	2229.436
809	2227.331551
810	2219.672618
811	2215.284752
812	2214.14442
813	2202.344653
814	2197.919103
815	2193.341605
816	2190.503475
817	2181.892021
818	2181.667555
819	2176.126507
820	2170.420032
821	2163.693989
822	2159.998204
823	2151.972599
824	2148.786561
825	2144.140806
826	2138.421578
827	2135.944539
828	2130.071371
829	2122.852623
830	2114.142167
831	2110.142273
832	2107.151072
833	2101.099091
834	2093.593325
835	2093.306648
836	2086.32377
837	2082.116645
838	2074.786484
839	2074.567134
840	2069.723552
841	2067.652539
842	2066.684352
843	2061.76916
844	2057.731636
845	2048.438207
846	2045.409931
847	2037.378335
848	2032.204541
849	2028.671168
850	2024.845864
851	2022.313148
852	2019.137798
853	2013.838194
854	2009.500769
855	2003.506202
856	1997.666154
857	1989.40479
858	1987.200093
859	1981.345647
860	1976.628317
861	1969.431224
862	1964.625249
863	1964.472015
864	1963.655532
865	1958.459714
866	1954.469272
867	1951.666188
868	1946.200721
869	1944.045389
870	1940.274797
871	1936.359615
872	1934.81743
873	1934.085846
874	1926.43967
875	1925.637956
876	1921.621366
877	1919.860487
878	1916.44244
879	1913.122324
880	1908.442351
881	1902.835193
882	1896.753471
883	1890.378356
884	1885.59277
885	1882.021967
886	1878.1183
887	1877.991323
888	1870.304888
889	1867.600962
890	1865.181912
891	1853.494489
892	1850.08122
893	1843.736619
894	1839.830565
895	1838.624754
896	1837.499355
897	1832.727131
898	1827.469819
899	1825.610139
900	1819.725563
901	1813.482535
902	1813.233123
903	1809.499841
904	1808.643145
905	1805.60633
906	1805.448945
907	1802.848
908	1801.848367
909	1798.370718
910	1795.748904
911	1793.127928
912	1787.337744
913	1787.043686
914	1784.702777
915	1784.546038
916	1783.894788
917	1779.741495
918	1778.567954
919	1775.06026
920	1770.036001
921	1764.653133
922	1755.692447
923	1750.380485
924	1748.344314
925	1743.89637
926	1737.128968
927	1735.142068
928	1730.761809
929	1725.860173
930	1720.115157
931	1717.34517
932	1712.698945
933	1709.005155
934	1705.44731
935	1702.84695
936	1698.186651
937	1697.783188
938	1691.715162
939	1687.042836
940	1684.575262
941	1682.067727
942	1680.798574
943	1678.063077
944	1674.849759
945	1672.432123
946	1672.251173
947	1667.844577
948	1667.478878
949	1663.416329
950	1663.276081
951	1657.982581
952	1655.133438
953	1652.258887
954	1647.863279
955	1641.952065
956	1637.717973
957	1635.291836
958	1635.092376
959	1629.210754
960	1623.023277
961	1620.069273
962	1616.19365
963	1614.675315
964	1612.800983
965	1610.499049
966	1609.575105
967	1607.143778
968	1604.810482
969	1604.64818
970	1600.100358
971	1594.363387
972	1591.437342
973	1590.853277
974	1590.71327
975	1587.311578
976	1584.177478
977	1581.735636
978	1579.806186
979	1575.944508
980	1575.744618
981	1572.05
982	1570.666434
983	1569.135204
984	1566.226707
985	1564.303809
986	1562.938259
987	1558.815825
988	1553.684287
989	1551.416315
990	1548.802137
991	1545.971577
992	1539.098487
993	1537.00424
994	1533.053524
995	1528.937777
996	1525.88959
997	1524.220517
998	1524.069809
999	1518.049116
