iter	Passed	Remaining
0	6	6481
1	12	6008
2	18	6010
3	24	5998
4	30	6047
5	35	5956
6	42	5983
7	47	5943
8	53	5898
9	59	5879
10	65	5872
11	71	5870
12	76	5832
13	82	5844
14	88	5819
15	94	5797
16	99	5766
17	105	5765
18	112	5802
19	118	5793
20	124	5815
21	130	5822
22	136	5815
23	143	5816
24	148	5795
25	154	5786
26	160	5794
27	166	5791
28	172	5776
29	178	5772
30	184	5777
31	191	5801
32	198	5819
33	204	5823
34	211	5840
35	219	5885
36	226	5883
37	232	5876
38	237	5863
39	244	5861
40	250	5853
41	256	5852
42	262	5844
43	269	5845
44	275	5847
45	281	5845
46	287	5836
47	293	5822
48	299	5812
49	305	5804
50	311	5804
51	318	5802
52	324	5791
53	330	5783
54	336	5779
55	342	5775
56	349	5775
57	355	5770
58	361	5769
59	367	5757
60	374	5757
61	380	5764
62	388	5774
63	396	5798
64	406	5845
65	414	5865
66	421	5866
67	427	5865
68	435	5869
69	441	5868
70	448	5863
71	464	5991
72	472	5997
73	479	5997
74	486	6001
75	494	6009
76	501	6006
77	507	6000
78	514	6001
79	521	5994
80	528	5991
81	534	5987
82	541	5986
83	548	5982
84	554	5971
85	561	5970
86	568	5970
87	575	5961
88	581	5955
89	588	5948
90	595	5944
91	602	5941
92	608	5937
93	616	5940
94	623	5937
95	630	5936
96	636	5927
97	643	5922
98	650	5920
99	657	5915
100	664	5912
101	670	5900
102	677	5900
103	684	5900
104	691	5897
105	698	5892
106	705	5889
107	712	5882
108	718	5875
109	725	5866
110	731	5860
111	738	5857
112	745	5851
113	752	5846
114	758	5839
115	766	5841
116	773	5836
117	780	5835
118	790	5851
119	799	5866
120	807	5863
121	814	5858
122	820	5851
123	827	5845
124	833	5837
125	840	5832
126	847	5826
127	854	5821
128	860	5811
129	867	5804
130	873	5797
131	880	5789
132	887	5784
133	893	5777
134	900	5770
135	907	5764
136	914	5762
137	922	5759
138	929	5755
139	936	5751
140	943	5750
141	950	5745
142	957	5740
143	965	5740
144	972	5732
145	979	5727
146	986	5723
147	993	5720
148	1000	5714
149	1007	5710
150	1014	5706
151	1021	5700
152	1029	5697
153	1036	5691
154	1043	5689
155	1051	5686
156	1058	5682
157	1066	5682
158	1073	5677
159	1080	5673
160	1087	5669
161	1094	5661
162	1101	5653
163	1106	5641
164	1113	5633
165	1118	5621
166	1125	5612
167	1131	5603
168	1137	5592
169	1143	5581
170	1149	5572
171	1156	5564
172	1162	5554
173	1168	5545
174	1174	5536
175	1181	5530
176	1187	5520
177	1195	5519
178	1201	5512
179	1208	5503
180	1214	5494
181	1220	5484
182	1226	5475
183	1232	5466
184	1239	5460
185	1245	5451
186	1252	5443
187	1258	5437
188	1265	5429
189	1271	5421
190	1278	5414
191	1284	5404
192	1290	5395
193	1296	5386
194	1302	5377
195	1309	5371
196	1317	5369
197	1324	5365
198	1331	5360
199	1338	5354
200	1346	5351
201	1353	5348
202	1361	5344
203	1368	5339
204	1375	5333
205	1382	5327
206	1389	5321
207	1396	5316
208	1403	5310
209	1410	5304
210	1417	5299
211	1423	5291
212	1430	5284
213	1436	5275
214	1443	5270
215	1449	5261
216	1456	5254
217	1462	5247
218	1469	5239
219	1476	5234
220	1482	5225
221	1489	5219
222	1497	5217
223	1504	5211
224	1510	5204
225	1517	5195
226	1523	5187
227	1530	5180
228	1536	5174
229	1543	5167
230	1549	5159
231	1556	5151
232	1562	5144
233	1570	5139
234	1578	5139
235	1589	5144
236	1597	5141
237	1603	5134
238	1610	5128
239	1618	5125
240	1626	5121
241	1634	5118
242	1642	5116
243	1650	5115
244	1660	5116
245	1668	5115
246	1676	5112
247	1684	5108
248	1692	5103
249	1700	5102
250	1710	5103
251	1719	5103
252	1727	5099
253	1734	5094
254	1742	5089
255	1751	5089
256	1759	5086
257	1767	5083
258	1774	5077
259	1781	5071
260	1789	5065
261	1795	5058
262	1803	5052
263	1809	5045
264	1817	5041
265	1824	5033
266	1830	5025
267	1837	5018
268	1843	5009
269	1850	5003
270	1858	4998
271	1864	4991
272	1871	4984
273	1878	4978
274	1886	4972
275	1893	4967
276	1900	4961
277	1909	4958
278	1915	4950
279	1922	4944
280	1930	4938
281	1937	4932
282	1944	4926
283	1952	4921
284	1959	4915
285	1967	4912
286	1977	4912
287	1985	4908
288	1992	4902
289	2000	4897
